GaiaDR3;Cluster;Pmemb;Note;RA_ICRS;DE_ICRS;pmRA;e_pmRA;pmDE;e_pmDE;Plx;e_Plx;Gmag;BPmag;RPmag;Gmagcor;(G-RP)cor;_RA.icrs;_DE.icrs
2054154768877410176;   HE_40; 0.99;  N;303.3597;+32.0955;-3.793; 0.033; -5.266; 0.039; 0.483; 0.038;16.378;17.360;15.390;16.303; 0.969;303.3597;+32.0955
2054154871956641024;   HE_40; 0.99;  N;303.3606;+32.1260;-3.802; 0.011; -5.373; 0.014; 0.459; 0.014;13.705;14.590;12.757;13.596; 0.920;303.3606;+32.1260
2054154803237151360;   HE_40; 0.99;  N;303.3622;+32.1046;-3.912; 0.071; -5.188; 0.085; 0.498; 0.085;17.723;18.932;16.669;17.638; 1.032;303.3622;+32.1046
2054160747471902080;   HE_40; 0.99;  N;303.3629;+32.1293;-3.862; 0.030; -5.323; 0.038; 0.496; 0.036;16.292;17.165;15.354;16.215; 0.918;303.3629;+32.1293
2054165381734515840;   HE_40; 0.89;  N;303.3641;+32.2458;-3.762; 0.145; -5.568; 0.171; 0.467; 0.158;18.704;20.460;17.429;18.856; 1.314;303.3641;+32.2458
2054160747471901184;   HE_40; 0.99;  N;303.3649;+32.1309;-3.797; 0.011; -5.321; 0.014; 0.483; 0.014;13.970;14.722;13.101;13.982; 0.872;303.3649;+32.1309
2054160747471900928;   HE_40; 0.97;  N;303.3659;+32.1320;-3.770; 0.026; -5.283; 0.032; 0.514; 0.031;15.771;16.617;14.838;15.783; 0.936;303.3659;+32.1320
2054160747471899392;   HE_40; 0.97;  N;303.3663;+32.1297;-3.715; 0.036; -5.230; 0.045; 0.497; 0.043;16.622;17.534;15.643;16.605; 0.975;303.3663;+32.1297
2054160747472117888;   HE_40; 0.99;  N;303.3665;+32.1362;-3.788; 0.018; -5.273; 0.022; 0.455; 0.022;14.725;15.511;13.834;14.737; 0.894;303.3665;+32.1362
2054154562718972928;   HE_40; 0.99;  N;303.3671;+32.0908;-3.891; 0.029; -5.276; 0.034; 0.475; 0.033;16.026;17.039;15.019;16.026; 1.007;303.3671;+32.0908
2054161636522721536;   HE_40; 0.67;  N;303.3672;+32.1674;-3.856; 0.039; -5.382; 0.045; 0.558; 0.045;16.537;17.457;15.558;16.523; 0.976;303.3672;+32.1674
2054154562718975232;   HE_40; 0.97;  N;303.3675;+32.0955;-3.813; 0.040; -5.194; 0.047; 0.528; 0.046;16.764;17.926;15.707;16.764; 1.057;303.3675;+32.0955
2054160781831644416;   HE_40; 0.99;  N;303.3684;+32.1428;-3.860; 0.039; -5.249; 0.046; 0.465; 0.047;16.662;17.596;15.704;16.660; 0.957;303.3684;+32.1428
